             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          16504659  gpu_ss11   1020k3     xgao PD       0:00      2 (Priority)
          16504965  gpu_ss11   mos.sh     zhao PD       0:00      1 (Priority)
          16505360  gpu_ss11 gpu_subm  yyx5048 PD       0:00      4 (Priority)
          16505355  gpu_ss11 gpu_subm  yyx5048 PD       0:00      4 (Priority)
          16505461  gpu_ss11 cp2k-run smcbride PD       0:00      1 (Priority)
          16506297  gpu_ss11  outfile abal2132 PD       0:00      4 (Priority)
          16506352  gpu_ss11    slurm    nkaaz PD       0:00      2 (Priority)
          16506349  gpu_ss11   run.sh   intuon PD       0:00      4 (Priority)
          16506412  gpu_ss11     P_Cd   intuon PD       0:00      4 (Priority)
          16506701  gpu_ss11 singleMu   kamron PD       0:00      1 (Priority)
          16506699  gpu_ss11 singleMu   kamron PD       0:00      1 (Priority)
          16506674  gpu_ss11      run   motong PD       0:00      1 (Priority)
          16507270  gpu_ss11     z9.6 tianshuw PD       0:00     30 (Priority)
          16507297  gpu_ss11        j  mvansch PD       0:00      4 (Priority)
          16507413  gpu_ss11       H1 austindi PD       0:00      7 (Priority)
          16507439  gpu_ss11      BGW tincheng PD       0:00      2 (Priority)
          16507640  gpu_ss11       H1 austindi PD       0:00      7 (Priority)
          16507666  gpu_ss11 B-mon12B yiwang62 PD       0:00      1 (Priority)
          16507663  gpu_ss11 B-mon12B yiwang62 PD       0:00      1 (Priority)
          16507688  gpu_ss11 scan-CH-      kjw PD       0:00    512 (Priority)
          16509186  gpu_ss11 scan-CH-      kjw PD       0:00    512 (Priority)
          16509358  gpu_ss11    nacl1      zcy PD       0:00      8 (Priority)
          16509369  gpu_ss11 submit.s  nsurijr PD       0:00      1 (Priority)
          16509440  gpu_ss11 FW_submi    apike PD       0:00      4 (Priority)
          16509439  gpu_ss11 FW_submi    apike PD       0:00      4 (Priority)
          16509454  gpu_ss11     MW-5  gkafle1 PD       0:00      8 (Priority)
          16509493  gpu_ss11       Fe   mvalls PD       0:00    465 (Priority)
          16502680  gpu_ss11 pm-vasp-    widom PD       0:00      1 (Priority)
          16509718  gpu_ss11   zndt_8   jsalin PD       0:00     32 (Priority)
          16509799  gpu_ss11      BGW tincheng PD       0:00      2 (Priority)
          16509815  gpu_ss11    slurm    nkaaz PD       0:00      2 (Priority)
          16509981  gpu_ss11 run.E3SM  whannah PD       0:00     64 (Priority)
          16510019  gpu_ss11      icl shas1693 PD       0:00      1 (Priority)
          16510041  gpu_ss11   bin3sf  sadiram PD       0:00      1 (Priority)
          16510029  gpu_ss11 VASP-FW- esoteric PD       0:00      2 (Priority)
          16510024  gpu_ss11 VASP-FW- esoteric PD       0:00      2 (Priority)
          16510055  gpu_ss11     ph_6  shivani PD       0:00      4 (Priority)
          16510052  gpu_ss11     ph_0  shivani PD       0:00      4 (Priority)
          16510150  gpu_ss11 runjob.s  yixuans PD       0:00     10 (Priority)
          16510146  gpu_ss11 runjob.s  yixuans PD       0:00     10 (Priority)
          16510359  gpu_ss11 batch_R.    masaw PD       0:00      1 (Priority)
          16510424  gpu_ss11 alphafol    iankh PD       0:00      1 (Priority)
          16510495  gpu_ss11  atomate  popoola PD       0:00      8 (Priority)
          16510703  gpu_ss11 ECP_Ab_p   embeen PD       0:00     16 (Priority)
          16510695  gpu_ss11 Run_G4_S diefenbs PD       0:00      1 (Priority)
          16510693  gpu_ss11 Run_G4_S diefenbs PD       0:00      1 (Priority)
          16510708  gpu_ss11 fw_rapid   fricci PD       0:00      1 (Priority)
          16510706  gpu_ss11 fw_rapid   fricci PD       0:00      1 (Priority)
